Year,Milk Cattle,Beef Cattle,Other Cattle,Hogs
2001,215000,985000,2450000,15400000
2002,205000,985000,2360000,15500000
2003,208000,992000,2350000,15900000
2004,196000,974000,2280000,16300000
2005,187000,993000,2420000,16600000
2006,200000,1000000,2550000,17300000
2007,210000,1010000,2680000,19400000
2008,215000,965000,2820000,19900000
2009,215000,925000,2810000,18900000
2010,215000,895000,2790000,19100000
2011,210000,860000,2830000,20000000
2012,205000,905000,2840000,20600000
2013,205000,925000,2770000,20200000
2014,205000,875000,2670000,21300000
2015,210000,900000,2740000,21100000
2016,210000,940000,2800000,22200000
2017,215000,965000,2720000,22800000
2018,220000,950000,2830000,23600000
2019,220000,930000,2800000,24600000
